task:0,task:1,cosine_similarity
Cars,Cars,1.0
Cars,DTD,0.11075914651155472
Cars,EuroSAT,0.06496571749448776
Cars,GTSRB,0.05022738501429558
Cars,RESISC45,0.15645921230316162
Cars,SUN397,0.31111088395118713
Cars,SVHN,0.027449561282992363
DTD,Cars,0.11075914651155472
DTD,DTD,1.0000001192092896
DTD,EuroSAT,0.047366395592689514
DTD,GTSRB,0.053428150713443756
DTD,RESISC45,0.14362628757953644
DTD,SUN397,0.18337470293045044
DTD,SVHN,0.016302699223160744
EuroSAT,Cars,0.06496571749448776
EuroSAT,DTD,0.047366395592689514
EuroSAT,EuroSAT,0.9999999403953552
EuroSAT,GTSRB,0.08078517019748688
EuroSAT,RESISC45,0.19531142711639404
EuroSAT,SUN397,0.09131468087434769
EuroSAT,SVHN,0.04422667995095253
GTSRB,Cars,0.05022738501429558
GTSRB,DTD,0.053428150713443756
GTSRB,EuroSAT,0.08078517019748688
GTSRB,GTSRB,1.0000001192092896
GTSRB,RESISC45,0.05865571275353432
GTSRB,SUN397,0.05466693639755249
GTSRB,SVHN,0.09947504848241806
RESISC45,Cars,0.15645921230316162
RESISC45,DTD,0.14362628757953644
RESISC45,EuroSAT,0.19531142711639404
RESISC45,GTSRB,0.05865571275353432
RESISC45,RESISC45,1.0
RESISC45,SUN397,0.25962305068969727
RESISC45,SVHN,0.05030667781829834
SUN397,Cars,0.31111088395118713
SUN397,DTD,0.18337470293045044
SUN397,EuroSAT,0.09131468087434769
SUN397,GTSRB,0.05466693639755249
SUN397,RESISC45,0.25962305068969727
SUN397,SUN397,1.0000001192092896
SUN397,SVHN,0.04765075445175171
SVHN,Cars,0.027449561282992363
SVHN,DTD,0.016302699223160744
SVHN,EuroSAT,0.04422667995095253
SVHN,GTSRB,0.09947504848241806
SVHN,RESISC45,0.05030667781829834
SVHN,SUN397,0.04765075445175171
SVHN,SVHN,1.0
