dataset:0,dataset:1,dataset:2,dataset:3,scaling_factor:2,scaling_factor:3,scaling_factor:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.4650047938638543,0.1,0.44362745098039214,0.659375,0.0,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.1975071907957814,0.25375,0.0,0.0,0.7833935018050542,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.6442953020134228,0.4925,0.09313725490196079,0.0,0.021660649819494584,0.8451834862385321,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.4103547459252157,0.135,0.09313725490196079,0.0,0.0,0.0,0.8537288475344897
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.47746883988494726,0.293125,0.0,0.07125,0.8447653429602888,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.5503355704697986,0.52375,0.0,0.113125,0.10469314079422383,0.9208715596330275,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.37583892617449666,0.305625,0.0,0.449375,0.0,0.0,0.8612151295588677
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.5158197507190796,0.645,0.0,0.0,0.5054151624548736,0.8910550458715596,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.5321188878235859,0.308125,0.0,0.0,0.47653429602888087,0.0,0.742774769949888
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.2607861936720997,0.003125,0.0,0.0,0.0,0.016055045871559634,0.8567283230688718
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7003610108303249,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.44870565675934804,0.0,0.22794117647058823,0.420625,0.0,0.9277522935779816,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0028763183125599234,0.0,0.20588235294117646,0.004375,0.0,0.0,0.8367197931129754
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.4956855225311601,0.0,0.24754901960784315,0.0,0.09025270758122744,0.9288990825688074,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.14950980392156862,0.0,0.2563176895306859,0.0,0.8035043543052189
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,0.8953375880729553
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.336529242569511,0.0,0.0,0.6525,0.44404332129963897,0.9346330275229358,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.0,0.078125,0.2527075812274368,0.0,0.8380181850565496
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.5771812080536913,0.0,0.0,0.0,0.0,0.014908256880733946,0.8873231708050178
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.5321188878235859,0.0,0.0,0.0,0.0,0.23509174311926606,0.8366711794897325
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.135625,0.0,0.0,0.7978339350180506,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0475,0.0661764705882353,0.659375,0.0,0.930045871559633,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.08823529411764706,0.361875,0.0,0.0,0.8743100399238377
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.24875,0.022058823529411766,0.0,0.776173285198556,0.9311926605504587,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.1552346570397112,0.0,0.8637258632083812
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.246875,0.004901960784313725,0.0,0.0,0.8084862385321101,0.8452472975876818
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.2325,0.0,0.00625,0.776173285198556,0.9323394495412844,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.05415162454873646,0.0,0.8821557147971031
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.3675,0.0,0.35625,0.0,0.8555045871559633,0.846283860364954
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.00375,0.0,0.0,0.0,0.0,0.8746324092070761
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.40441176470588236,0.65875,0.0,0.0,
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.49019607843137253,0.63,0.0,0.0,0.5470061571215783
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.1715686274509804,0.01125,0.0,0.009174311926605505,0.8650493638647994
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.13480392156862744,0.0,0.07581227436823104,0.0,0.8615721479047111
glue-qqp,glue-rte,glue-sst2,glue-stsb,0.5,1.0,1.0,0.0,0.0,0.0,0.065,0.1588447653429603,0.9013761467889908,0.8592561795259656
