dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,0.6673058485139022,0.0725,0.0,0.0,0.0,0.09747706422018348,
glue-cola,glue-mrpc,0.6778523489932886,0.0,0.0,0.0,0.0,0.027522935779816515,
glue-cola,glue-qqp,0.6625119846596357,0.0,0.0,0.009375,0.0,0.0022935779816513763,
glue-cola,glue-rte,0.6682646212847555,0.0,0.0,0.0,0.17689530685920576,0.0022935779816513763,
glue-cola,glue-sst2,0.6586768935762224,0.0,0.0,0.0,0.0,0.8268348623853211,
glue-cola,glue-stsb,0.6615532118887824,0.0,0.0,0.0,0.0,0.0,0.3046677032152877
glue-mnli,glue-mrpc,0.0,0.11875,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-mnli,glue-qqp,0.0,0.08,0.0,0.016875,0.0,0.0,
glue-mnli,glue-rte,0.0,0.2475,0.0,0.0,0.516245487364621,0.0,
glue-mnli,glue-sst2,0.0,0.145625,0.0,0.0,0.0,0.9002293577981652,
glue-mnli,glue-stsb,0.0,0.040625,0.0,0.0,0.0,0.0,0.3599925291352351
glue-mrpc,glue-qqp,0.0,0.0,0.0,0.07625,0.0,0.0,-0.0323030368810438
glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.3898916967509025,0.0,
glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8944954128440367,
glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.17877784639404073
glue-qqp,glue-rte,0.0,0.0,0.0,0.55,0.5270758122743683,0.0,
glue-qqp,glue-sst2,0.0,0.0,0.0,0.000625,0.0,0.713302752293578,
glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.21744855738060073
glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.13357400722021662,0.7993119266055045,
glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.10469314079422383,0.0,0.46539922285240165
glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.5986238532110092,0.13953061960585622
