dataset:0,dataset:1,dataset:2,scaling_factor:2,scaling_factor:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.548418024928092,0.2,0.00980392156862745,0.0,0.0,0.0022935779816513763,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.3087248322147651,0.185,0.0,0.58875,0.0,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.5915627996164909,0.289375,0.0,0.0,0.4187725631768953,0.0011467889908256881,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.3288590604026846,0.190625,0.0,0.0,0.0,0.9071100917431193,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6893576222435283,0.14,0.0,0.0,0.0,0.0,0.617250487696647
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6644295302013423,0.0,0.0,0.6375,0.0,0.0011467889908256881,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6836049856184084,0.0,0.0,0.0,0.40794223826714804,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6308724832214765,0.0,0.0,0.0,0.0,0.8394495412844036,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6893576222435283,0.0,0.0,0.0,0.0,0.0,0.5670090767223719
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6644295302013423,0.0,0.0,0.3575,0.47653429602888087,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6184084372003835,0.0,0.0,0.0,0.0,0.8394495412844036,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6883988494726749,0.0,0.0,0.0,0.0,0.0022935779816513763,0.6521024322742763
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.3796740172579099,0.0,0.0,0.0,0.0,0.9036697247706422,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6749760306807286,0.0,0.0,0.0,0.0,0.0,0.6554437393959894
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.6893576222435283,0.0,0.0,0.0,0.0,0.5573394495412844,0.6915428392877572
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.315,0.4803921568627451,0.719375,0.0,0.005733944954128441,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.3525,0.0,0.0,0.6750902527075813,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.295,0.0024509803921568627,0.0,0.0,0.893348623853211,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.3375,0.0,0.0,0.0,0.0,0.33238527953373265
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.205625,0.0,0.14375,0.555956678700361,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.27125,0.0,0.035,0.0,0.8990825688073395,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.2075,0.0,0.0,0.0,0.0,0.5577763552270785
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.299375,0.0,0.0,0.34296028880866425,0.8853211009174312,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.444375,0.0,0.0,0.5270758122743683,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.28125,0.0,0.0,0.0,0.8165137614678899,0.37126016650708654
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.640625,0.47653429602888087,0.0,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0009587727708533077,0.025,0.28431372549019607,0.65375,0.0,0.8795871559633027,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.5171568627450981,0.65,0.0,0.0,0.17830385146973882
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.000625,0.0,0.0,0.30685920577617326,0.8990825688073395,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.49929270530609243
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.000625,0.004901960784313725,0.0,0.0,0.8772935779816514,0.29264369355323877
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.505625,0.41155234657039713,0.9013761467889908,
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.600625,0.36462093862815886,0.0,0.387450709559137
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.08125,0.0,0.8910550458715596,0.33609819394912616
glue-rte,glue-sst2,glue-stsb,1.0,1.0,0.0,0.0,0.0,0.0,0.04693140794223827,0.8520642201834863,0.5919091376541047
