scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.75,glue-cola,glue-mnli,0.7286673058485139,0.790625,0.0,0.0,0.4404332129963899,0.0,,0.27996078840641486
1.0,0.5,glue-cola,glue-mrpc,0.7420901246404602,0.0,0.8553921568627451,0.0,0.0,0.0,,0.2282117545004579
1.0,0.5,glue-cola,glue-qqp,0.7401725790987536,0.0,0.0,0.8575,0.0,0.0,,0.22823893987125052
1.0,0.25,glue-cola,glue-rte,0.7353787152444871,0.0,0.0,0.0,0.7833935018050542,0.0,,0.21696745957850588
0.5,0.25,glue-cola,glue-sst2,0.6845637583892618,0.0,0.0,0.0,0.0,0.8520642201834863,,0.2195182826532497
1.0,0.5,glue-cola,glue-stsb,0.7468839884947267,0.0,0.0,0.0,0.0,0.0,0.8944980292136328,0.23448314538690848
0.8,0.5,glue-mnli,glue-mrpc,0.0,0.706875,0.8480392156862745,0.0,0.1263537906137184,0.0206422018348623,,0.24313002973355075
1.0,0.5,glue-mnli,glue-qqp,0.0,0.81625,0.0,0.845,0.4007220216606498,0.0011467889908256,,0.29473125866449645
1.0,0.25,glue-mnli,glue-rte,0.0,0.815,0.0,0.0,0.5379061371841155,0.0,,0.1932723053120165
1.0,0.25,glue-mnli,glue-sst2,0.0,0.8225,0.0,0.0,0.3574007220216607,0.7373853211009175,,0.2738980061603683
1.0,0.25,glue-mnli,glue-stsb,0.0,0.299375,0.0,0.0,0.0,0.0,0.8875322483916701,0.16955817834166714
1.0,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.625,0.528125,0.0,0.0,,0.16473214285714285
1.0,0.25,glue-mrpc,glue-rte,0.0,0.0,0.4852941176470588,0.0,0.447653429602888,0.0,,0.1332782210357067
0.8,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.8455882352941176,0.0,0.0,0.8658256880733946,,0.244487703338216
1.0,0.25,glue-mrpc,glue-stsb,0.0,0.0,0.6397058823529411,0.0,0.0,0.0,0.8270257175528284,0.2095330857008242
1.0,0.25,glue-qqp,glue-rte,0.0,0.0,0.0,0.758125,0.5595667870036101,0.0,,0.1882416838576586
1.0,0.25,glue-qqp,glue-sst2,0.0,0.0,0.0,0.856875,0.0,0.9231651376146788,,0.2542914482306684
1.0,0.5,glue-qqp,glue-stsb,0.0,0.0,0.0,0.206875,0.0,0.0,0.8944162698515282,0.15732732426450405
1.0,0.5,glue-rte,glue-sst2,0.0,0.045625,0.0,0.0,0.7906137184115524,0.9277522935779816,,0.2519987159985049
0.9,0.5,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.8907385932871801,0.12724837046959717
0.7000000000000001,0.25,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.1502293577981651,0.8721701016372841,0.1460570656336356
