scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0028763183125599,0.060625,0.0049019607843137,0.006875,0.4223826714801444,0.0,,0.07109442151100256
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.3163950143815915,0.155625,0.1299019607843137,0.12125,0.0,0.8337155963302753,,0.22241251021374006
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0162991371045062,0.010625,0.0416666666666666,0.005,0.0,0.0011467889908256,0.494459355643579,0.08131384977222535
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.4851390220517737,0.32625,0.0245098039215686,0.0,0.4909747292418772,0.7694954128440367,,0.29948128115132233
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.024928092042186,0.328125,0.0269607843137254,0.0,0.5270758122743683,0.0,,0.1295842412328971
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.361457334611697,0.1225,0.0,0.0,0.0108303249097472,0.8211009174311926,0.5877200484136856,0.2719440893380461
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.3748801534036433,0.210625,0.0,0.038125,0.4007220216606498,0.8841743119266054,,0.2726466409986998
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0450623202301054,0.32875,0.0,0.0,0.5270758122743683,0.0,,0.12869830464349624
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.071907957813998,0.160625,0.0,0.0,0.0,0.8623853211009175,0.4575509259814746,0.22178131498519857
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.2933844678811121,0.371875,0.0,0.0,0.5270758122743683,0.4369266055045872,,0.2327516979514382
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.1054650047938638,0.0,0.2377450980392156,0.1475,0.0,0.4357798165137614,,0.1323557027638344
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.2622549019607843,0.213125,0.0,0.0,0.1712388652025702,0.09237410959476493
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.1975071907957814,0.0,0.0392156862745098,0.0,0.0,0.7247706422018348,0.1846757535306281,0.16373846754325058
1.0,0.5,glue-cola,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.2627037392138063,0.0,0.0931372549019607,0.0,0.0,0.5768348623853211,0.4806631768404878,0.2019055761916537
1.0,0.5,glue-cola,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.3720038350910834,0.0,0.0,0.0,0.0,0.7981651376146789,0.3353071038039922,0.21506801092996491
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0325,0.1740196078431372,0.00625,0.1407942238267148,0.5951834862385321,,0.13553533112976915
1.0,0.75,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.19,0.0441176470588235,0.000625,0.4043321299638989,0.0,,0.09129639671753176
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.050625,0.0637254901960784,0.000625,0.0,0.7362385321100917,0.4016258988348039,0.17897713159156772
1.0,0.5,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.34875,0.0220588235294117,0.0,0.516245487364621,0.1536697247706422,,0.14867486223781068
1.0,0.75,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.31375,0.0,0.0,0.5270758122743683,0.1204128440366972,,0.1373198080444379
1.0,0.5,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.284313725490196,0.05,0.0,0.2144495412844036,0.1149961094129355,0.09482276802679072
